crown,lat,lon
,-37.7942610326526,144.915442753823
,-37.8295083752596,144.972012490162
,-37.7813971749149,144.956023287577
,-37.7951521938633,144.952312670567
,-37.8281352659553,144.965238911982
,-37.7920746634295,144.951762726387
,-37.7940882108296,144.926183521087
,-37.8024356587866,144.930320899536
,-37.7854553971814,144.94353846486
,-37.7797601486751,144.948971009072
,-37.7945244945937,144.957308208361
,-37.8395207321493,144.981431916884
,-37.7936841018084,144.93841347921
,-37.8114798674925,144.936546731447
,-37.8088700244635,144.92586996097
,-37.7951489384127,144.95247788431
,-37.8006452286676,144.960611539169
,-37.7943177431305,144.915515543678
,-37.8023588381282,144.9303288365
,-37.7948434376832,144.930719965266
,-37.785422149369,144.943507819591
,-37.8069493490337,144.953911719854
,-37.7889950056848,144.946630338936
,-37.7820708552513,144.941300180465
,-37.7954964609946,144.952137471864
,-37.7872627349886,144.956847202147
,-37.7920933749355,144.950704052615
,-37.782949114325604,144.954892641691
,-37.8014221854531,144.942936207573
,-37.8222137424006,144.937447824619
,-37.7871133957299,144.944494263312
,-37.7944622425701,144.973306946643
,-37.7951799338942,144.952348018346
,-37.7804039325477,144.952823880532
,-37.7917711874985,144.950200799345
,-37.8311138620317,144.972606282179
,-37.8234621944035,144.908350397333
,-37.8218630795544,144.94438266915
,-37.7951371884098,144.952211557607
,-37.7877000142566,144.923689997701
,-37.7781062821531,144.956347263969
,-37.7925947503761,144.951261184906
,-37.8211530300162,144.943906938915
,-37.7842977717982,144.955782815495
,-37.8206232532621,144.941736806286
,-37.7792807516259,144.95576344802
,-37.8106500253383,144.98247995159
,-37.7835469815438,144.955641584478
,-37.811191908459,144.982753720407
,-37.7865755809199,144.943957757837
,-37.7847601539178,144.956104023059
,-37.8164849246996,144.976694566648
,-37.7953425442351,144.937461918529
,-37.7951649926654,144.952343888298
,-37.7853747865258,144.946438498573
,-37.8033494247544,144.912623904044
,-37.8065894121202,144.961044664069
,-37.785549248043,144.969197161032
,-37.7837406896037,144.95939093298
,-37.8085535779629,144.925545102532
,-37.7976326999307,144.96911260446
,-37.8012827674157,144.942987436354
,-37.7857189515201,144.945916857707
,-37.7895242877126,144.948089650127
,-37.8114551757862,144.936675321213
,-37.818275636853,144.971199746717
,-37.832482202065,144.973940933431
,-37.7971842685949,144.924152199008
,-37.7964176464534,144.935173510685
,-37.8004044751736,144.954290761018
,-37.785643833092,144.943321696524
,-37.8280535875971,144.966102819209
,-37.7845751004739,144.955058111171
,-37.8007243771771,144.960873194332
,-37.8144043615084,144.982623452372
,-37.7895179136201,144.961755687605
,-37.7965510530669,144.921191294131
,-37.8216513177455,144.947188131973
,-37.8046069021202,144.963543773403
,-37.8171542669333,144.956076204131
,-37.784791524701,144.954137391419
,-37.8141898772059,144.944295644773
,-37.8094731933135,144.98490721007
,-37.8219557682356,144.936765531369
,-37.7961301482429,144.968030236966
,-37.7982495230723,144.92376247484
,-37.7955696711932,144.914992362957
,-37.8096420583022,144.988453495692
,-37.8173337309787,144.953525947648
,-37.7775149498616,144.940109316802
,-37.8133674462897,144.954877621632
,-37.7896655038833,144.950434211105
,-37.783692761461,144.945292695983
,-37.7905473624805,144.921763843039
,-37.806830987643004,144.971531080532
,-37.7881609746147,144.95072344602
,-37.78757443217,144.951745962363
,-37.7912248186513,144.924438926566
,-37.7779611120117,144.939541954294
,-37.77735579688,144.941191435216
,-37.7944343015742,144.957813100854
,-37.800514628139,144.960090080716
,-37.7861606835291,144.956275846347
,-37.814376558196,144.978800366699
,-37.8002150382941,144.965380385065
,-37.8203946409011,144.940392635794
,-37.7975600139466,144.92573004816
,-37.8171275567137,144.946001738475
,-37.7878169362893,144.959377252248
,-37.7952216784397,144.95270164383
,-37.7882468429163,144.951717288507
,-37.7842890557881,144.959557300318
,-37.7809827935134,144.951721751544
,-37.8395771757383,144.985194957841
,-37.7869284060488,144.941616292265
,-37.7786462690833,144.94050504721
,-37.7843327692445,144.94498746515
,-37.7961633817159,144.951482285289
,-37.7905473769112,144.944016862409
,-37.822013973129,144.972658676964
,-37.7905363712348,144.944620274129
,-37.8005397980261,144.914976395524
,-37.7923441934196,144.946297547056
,-37.7975783918698,144.919379923384
,-37.820806223398,144.943043286185
,-37.7984625408294,144.947310249625
,-37.7954012946117,144.918194292036
,-37.8123974791822,144.990674071091
,-37.8202000017037,144.970064748451
,-37.8106781511789,144.961649161685
,-37.8125331891799,144.959571205262
,-37.8237743252465,144.960510988061
,-37.8390138845019,144.978882968955
,-37.8208706014404,144.969716579733
,-37.7995141127175,144.957826632067
,-37.8335957149298,144.979201174554
,-37.7798292852234,144.957944575204
,-37.8055438570429,144.908428580108
,-37.7791828318908,144.95776571352
,-37.7950658782708,144.919581359305
,-37.8233658684858,144.95940580069
,-37.7911525827225,144.949779330909
,-37.8373921061013,144.979779352991
,-37.8232027666505,144.965353037936
,-37.7932701611542,144.947440460968
,-37.8055486644363,144.966105854317
,-37.7899821350338,144.92190107291
,-37.7817100940636,144.953922946759
,-37.7925323856194,144.955123989763
